year,pollutant,station_id,station_name,month,valid_days,who_exceedance_days,conama_exceedance_days,max_hourly_value,max_hourly_at,coverage_percent,data_quality_tier,validation_note
2022,PM10,69,VR - Belmonte,2022-01,28,0,0,137.32,2022-01-19T16:00:00,92.07,HIGH,Cobertura técnica de 92.1% com 28 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-02,28,0,0,100.96,2022-02-26T18:00:00,96.73,HIGH,Cobertura técnica de 96.7% com 28 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-03,31,0,0,147.52,2022-03-17T20:00:00,96.10,HIGH,Cobertura técnica de 96.1% com 31 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-04,30,0,0,113.04,2022-04-20T11:00:00,99.31,HIGH,Cobertura técnica de 99.3% com 30 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-05,31,0,0,101.51,2022-05-10T16:00:00,98.92,HIGH,Cobertura técnica de 98.9% com 31 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-06,30,0,0,113.85,2022-06-25T10:00:00,99.44,HIGH,Cobertura técnica de 99.4% com 30 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-07,31,5,2,201.59,2022-07-29T15:00:00,99.06,HIGH,Cobertura técnica de 99.1% com 31 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-08,31,13,10,253.34,2022-08-16T09:00:00,99.87,HIGH,Cobertura técnica de 99.9% com 31 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-09,30,9,6,240.46,2022-09-09T10:00:00,99.44,HIGH,Cobertura técnica de 99.4% com 30 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-10,30,7,6,319.39,2022-10-21T06:00:00,97.04,HIGH,Cobertura técnica de 97.0% com 30 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-11,30,1,1,131.87,2022-11-20T08:00:00,93.61,HIGH,Cobertura técnica de 93.6% com 30 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-12,28,3,1,206.14,2022-12-25T08:00:00,89.11,HIGH,Cobertura técnica de 89.1% com 28 dias válidos analiticamente.
