year,station_id,station_name,pollutant,annual_mean,max_hourly_peak,coverage_percent,exceedance_days_who,exceedance_days_conama
2022,69,VR - Belmonte,PM10,30.74,319.39,96.71,38,26
2022,69,VR - Belmonte,PM2.5,10.71,109.45,98.60,64,6
2022,70,VR - Retiro,PM10,30.65,284.44,97.44,37,24
2022,70,VR - Retiro,PM2.5,9.12,97.50,98.98,41,2
2022,71,VR - Santa Cecília,PM10,16.53,410.81,91.89,10,8
2022,71,VR - Santa Cecília,PM2.5,8.02,96.53,94.36,35,3
2023,69,VR - Belmonte,PM10,36.11,333.10,95.70,84,50
2023,69,VR - Belmonte,PM2.5,11.50,86.26,97.72,79,6
2023,70,VR - Retiro,PM10,28.56,251.46,96.77,24,8
2023,70,VR - Retiro,PM2.5,8.26,131.02,97.79,27,0
2023,71,VR - Santa Cecília,PM10,20.99,383.84,98.38,12,6
2023,71,VR - Santa Cecília,PM2.5,8.04,97.03,98.01,29,1
2024,69,VR - Belmonte,PM10,30.97,367.52,93.53,48,28
2024,69,VR - Belmonte,PM2.5,11.33,84.19,95.64,77,14
2024,70,VR - Retiro,PM10,29.70,300.76,96.74,46,32
2024,70,VR - Retiro,PM2.5,9.34,208.58,99.67,60,11
2024,71,VR - Santa Cecília,PM10,18.01,212.70,96.90,5,2
2024,71,VR - Santa Cecília,PM2.5,8.88,132.25,98.39,54,10
2025,69,VR - Belmonte,PM10,27.29,187.78,94.45,7,3
2025,69,VR - Belmonte,PM2.5,8.79,111.92,93.66,21,1
2025,70,VR - Retiro,PM10,22.13,175.33,93.81,3,2
2025,70,VR - Retiro,PM2.5,6.94,77.28,93.17,7,0
2025,71,VR - Santa Cecília,PM10,13.82,194.40,95.41,2,0
2025,71,VR - Santa Cecília,PM2.5,6.81,66.04,93.30,4,0
2026,69,VR - Belmonte,PM10,21.41,112.58,93.93,2,0
2026,69,VR - Belmonte,PM2.5,7.86,66.38,93.10,8,0
2026,70,VR - Retiro,PM10,19.23,126.60,85.90,0,0
2026,70,VR - Retiro,PM2.5,6.43,44.07,81.82,1,0
2026,71,VR - Santa Cecília,PM10,11.44,68.23,88.66,0,0
2026,71,VR - Santa Cecília,PM2.5,6.24,54.80,84.82,1,0
