year,station_id,station_name,pollutant,annual_mean,max_hourly_peak,coverage_percent,exceedance_days_who,exceedance_days_conama,coverage_status
2013,69,VR - Belmonte,PM10,36.09,311.98,93.96,80,50,SUFFICIENT
2013,70,VR - Retiro,PM10,24.94,222.69,91.56,8,4,SUFFICIENT
2013,71,VR - Santa Cecília,PM10,21.55,264.34,95.23,7,1,SUFFICIENT
2014,69,VR - Belmonte,PM10,38.43,300.25,95.03,93,72,SUFFICIENT
2014,70,VR - Retiro,PM10,32.77,430.03,89.71,47,32,SUFFICIENT
2014,71,VR - Santa Cecília,PM10,26.34,267.03,94.50,39,29,SUFFICIENT
2015,69,VR - Belmonte,PM10,33.38,224.50,87.09,57,38,SUFFICIENT
2015,70,VR - Retiro,PM10,28.75,416.00,93.52,32,16,SUFFICIENT
2015,71,VR - Santa Cecília,PM10,24.51,575.41,88.70,18,11,SUFFICIENT
2016,69,VR - Belmonte,PM10,31.25,268.90,84.02,39,25,SUFFICIENT
2016,70,VR - Retiro,PM10,27.15,278.83,86.57,12,6,SUFFICIENT
2016,71,VR - Santa Cecília,PM10,19.41,138.46,13.50,0,0,INSUFFICIENT_ANNUAL_COVERAGE
2017,69,VR - Belmonte,PM10,33.56,203.38,40.29,20,11,INSUFFICIENT_ANNUAL_COVERAGE
2017,70,VR - Retiro,PM10,26.53,554.50,92.50,19,13,SUFFICIENT
2017,71,VR - Santa Cecília,PM10,19.10,192.80,70.02,7,4,INSUFFICIENT_ANNUAL_COVERAGE
2018,69,VR - Belmonte,PM10,25.76,260.54,73.32,25,12,INSUFFICIENT_ANNUAL_COVERAGE
2018,70,VR - Retiro,PM10,23.78,209.01,94.01,8,5,SUFFICIENT
2018,71,VR - Santa Cecília,PM10,25.66,313.90,74.33,15,7,INSUFFICIENT_ANNUAL_COVERAGE
2019,69,VR - Belmonte,PM10,25.60,199.00,47.90,7,5,INSUFFICIENT_ANNUAL_COVERAGE
2019,70,VR - Retiro,PM10,29.82,255.41,40.96,11,4,INSUFFICIENT_ANNUAL_COVERAGE
2019,71,VR - Santa Cecília,PM10,26.66,410.00,76.58,22,18,SUFFICIENT
2020,69,VR - Belmonte,PM10,15.74,188.00,92.90,4,1,SUFFICIENT
2020,70,VR - Retiro,PM10,28.09,303.00,77.90,22,14,SUFFICIENT
2020,71,VR - Santa Cecília,PM10,19.81,258.78,79.00,3,1,SUFFICIENT
2021,69,VR - Belmonte,PM10,28.33,251.38,92.57,55,41,SUFFICIENT
2021,70,VR - Retiro,PM10,27.45,264.77,97.74,26,14,SUFFICIENT
2021,71,VR - Santa Cecília,PM10,16.79,234.27,74.19,8,4,INSUFFICIENT_ANNUAL_COVERAGE
2022,69,VR - Belmonte,PM10,30.74,319.39,96.71,38,26,SUFFICIENT
2022,70,VR - Retiro,PM10,30.65,284.44,97.44,37,24,SUFFICIENT
2022,71,VR - Santa Cecília,PM10,16.53,410.81,91.89,10,8,SUFFICIENT
2023,69,VR - Belmonte,PM10,36.11,333.10,95.70,84,50,SUFFICIENT
2023,70,VR - Retiro,PM10,28.56,251.46,96.77,24,8,SUFFICIENT
2023,71,VR - Santa Cecília,PM10,20.99,383.84,98.38,12,6,SUFFICIENT
2024,69,VR - Belmonte,PM10,30.97,367.52,93.53,48,28,SUFFICIENT
2024,70,VR - Retiro,PM10,29.70,300.76,96.74,46,32,SUFFICIENT
2024,71,VR - Santa Cecília,PM10,18.01,212.70,96.90,5,2,SUFFICIENT
2025,69,VR - Belmonte,PM10,27.29,187.78,94.45,7,3,SUFFICIENT
2025,70,VR - Retiro,PM10,22.13,175.33,93.81,3,2,SUFFICIENT
2025,71,VR - Santa Cecília,PM10,13.82,194.40,95.41,2,0,SUFFICIENT
2026,69,VR - Belmonte,PM10,21.41,112.58,93.93,2,0,SUFFICIENT
2026,70,VR - Retiro,PM10,19.23,126.60,85.90,0,0,SUFFICIENT
2026,71,VR - Santa Cecília,PM10,11.44,68.23,88.66,0,0,SUFFICIENT
