year,station_id,station_name,pollutant,annual_mean,max_hourly_peak,coverage_percent,exceedance_days_who,exceedance_days_conama,coverage_status
2020,69,"VR - Belmonte",SO2,12.37,45.29,97.32,0,56,SUFFICIENT
2020,70,"VR - Retiro",SO2,15.97,175.88,96.31,0,63,SUFFICIENT
2020,71,"VR - Santa Cecília",SO2,12.00,260.34,99.51,3,30,SUFFICIENT
2021,69,"VR - Belmonte",SO2,11.73,58.85,99.60,0,0,SUFFICIENT
2021,70,"VR - Retiro",SO2,12.79,37.81,99.01,0,19,SUFFICIENT
2021,71,"VR - Santa Cecília",SO2,12.65,29.68,77.83,0,0,SUFFICIENT
2022,69,"VR - Belmonte",SO2,11.97,25.93,99.37,0,0,SUFFICIENT
2022,70,"VR - Retiro",SO2,13.94,23.08,99.00,0,0,SUFFICIENT
2022,71,"VR - Santa Cecília",SO2,12.93,29.04,99.08,0,8,SUFFICIENT
2023,69,"VR - Belmonte",SO2,9.25,20.81,93.26,0,0,SUFFICIENT
2023,70,"VR - Retiro",SO2,9.43,16.20,99.05,0,0,SUFFICIENT
2023,71,"VR - Santa Cecília",SO2,8.58,19.86,99.46,0,0,SUFFICIENT
2024,69,"VR - Belmonte",SO2,4.06,14.18,89.33,0,0,SUFFICIENT
2024,70,"VR - Retiro",SO2,4.67,7.75,99.61,0,0,SUFFICIENT
2024,71,"VR - Santa Cecília",SO2,5.87,12.45,80.16,0,0,SUFFICIENT
2025,69,"VR - Belmonte",SO2,3.82,15.36,96.97,0,0,SUFFICIENT
2025,70,"VR - Retiro",SO2,6.05,16.73,85.65,0,0,SUFFICIENT
2025,71,"VR - Santa Cecília",SO2,3.23,373.38,45.07,0,0,INSUFFICIENT_ANNUAL_COVERAGE
2026,69,"VR - Belmonte",SO2,5.30,35.77,99.37,0,0,SUFFICIENT
2026,70,"VR - Retiro",SO2,4.31,79.92,78.81,0,1,SUFFICIENT
2026,71,"VR - Santa Cecília",SO2,4.71,41.25,98.18,0,0,SUFFICIENT
