station_id,station_name,parameter_id,pollutant,year,hourly_records,days_with_data,valid_days_1h,valid_days_18h,hourly_mean,daily_mean_all_days,daily_mean_valid_18h,max_daily_mean_1h,max_daily_mean_18h,max_hourly_value,max_moving_8h
69,VR - Belmonte,18,PM10,2013,8231,360,360,346,36.0932,36.0685,35.9315,77.4105,77.4105,311.9751,
69,VR - Belmonte,18,PM10,2014,8325,362,362,343,38.4265,38.4695,38.2878,135.4482,100.574,300.25,
69,VR - Belmonte,18,PM10,2015,7629,348,348,319,33.3849,32.7765,33.6632,87.5653,87.5653,224.5042,
70,VR - Retiro,18,PM10,2013,8021,357,357,332,24.9397,24.8987,24.8425,59.295,59.295,222.6909,
70,VR - Retiro,18,PM10,2014,7859,352,352,326,32.7724,32.8313,32.8174,144.7282,144.7282,430.03,
70,VR - Retiro,18,PM10,2015,8192,364,364,343,28.7468,28.6108,28.8622,70.4966,70.4966,416.002,
71,VR - Santa Cecília,18,PM10,2013,8342,362,362,347,21.5458,21.4879,21.5104,51.9973,51.9973,264.3407,
71,VR - Santa Cecília,18,PM10,2014,8278,357,357,342,26.3398,26.5458,26.1241,106.1629,101.7513,267.03,
71,VR - Santa Cecília,18,PM10,2015,7770,357,357,315,24.506,24.2054,24.6933,95.2844,95.2844,575.407,
69,VR - Belmonte,1955,PTS,2013,8324,362,362,351,51.4006,51.4307,51.173,109.0388,109.0388,425.3383,
69,VR - Belmonte,1955,PTS,2014,8337,362,362,344,54.9524,54.7997,54.822,169.4027,151.2621,585.5233,
69,VR - Belmonte,1955,PTS,2015,7751,352,352,323,43.9465,42.8339,44.2415,124.7891,124.7891,496.9387,
70,VR - Retiro,1955,PTS,2013,8171,357,357,337,37.3435,37.3587,37.3202,103.9798,103.9798,361.3042,
70,VR - Retiro,1955,PTS,2014,8143,355,355,336,50.489,50.4044,50.6726,194.8167,194.8167,514.96,
70,VR - Retiro,1955,PTS,2015,8357,364,364,351,39.6002,39.4894,39.6759,111.5057,111.5057,837.3145,
71,VR - Santa Cecília,1955,PTS,2013,5534,242,242,224,35.0902,34.9942,35.0111,98.6293,98.6293,311.9808,
71,VR - Santa Cecília,1955,PTS,2014,4799,206,206,200,45.6281,46.0623,45.212,155.6487,155.6487,522.8658,
71,VR - Santa Cecília,1955,PTS,2015,7617,349,349,307,34.6963,34.5411,34.6261,156.3065,156.3065,739.7683,
69,VR - Belmonte,2130,O3,2013,8308,361,361,339,27.0443,26.5873,27.4883,58.7941,58.7941,101.0568,86.903
69,VR - Belmonte,2130,O3,2014,8589,364,364,354,36.2458,36.2535,36.1904,101.9675,87.4444,173.5702,147.8864
69,VR - Belmonte,2130,O3,2015,8319,360,360,341,31.8093,31.9743,31.4367,92.8147,92.8147,197.5563,131.8825
70,VR - Retiro,2130,O3,2013,8058,354,354,326,35.3693,35.1795,35.4869,69.5918,69.5918,112.0356,98.4351
70,VR - Retiro,2130,O3,2014,7394,323,323,301,39.8502,39.9025,39.6878,104.0221,85.0252,171.3334,157.8992
70,VR - Retiro,2130,O3,2015,8521,364,364,357,34.8298,34.8936,34.9109,91.4069,91.4069,173.8989,130.3332
71,VR - Santa Cecília,2130,O3,2013,7932,362,362,317,39.8944,39.4378,40.1244,71.0867,71.0867,127.7352,105.3148
71,VR - Santa Cecília,2130,O3,2014,7565,345,345,296,35.8029,35.61,36.1267,90.4083,86.2272,196.1876,135.1668
71,VR - Santa Cecília,2130,O3,2015,8272,357,357,335,36.7414,36.6446,36.7626,92.6874,92.6874,176.2565,140.5923
